id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
331,1,30,21,9,,,,0,1,0,,,,,,,,,,,,,1,,1,10,0,0,998,4,0,998,4,1,99998,0,,,,,2,9111,0,0,9,9,2,5,2,0,1,0,0,0,2,0,1,0,1,1,1,1,0,0,4,0,1,0,4,3,1,2,1,0,0,2,1800,,2,2,2,2,70724.92629797391,.8551808,32474.494,.86943132,70724.92629802335,.8551808,28417.873,.86943144
46,0,32,15,1,4,1,8,0,0,0,,,,,,,,,,,,,1,,1,5,0,0,998,3,0,998,3,1,99998,1,1,9221,,,,,,,,,2,2,1,1,2,2,2,0,0,2,1,0,0,0,0,0,0,0,4,1,1,0,4,3,1,1,2,0,1,,999999,2,3,2,2,2,90578.19947641758,1.0952395,38444.125,1.0292547,90578.19947648089,1.0952395,33641.793,1.0292548
47,1,37,15,1,1,1,10,3,3,0,,,,,,,,,,,,,0,10,-1,-60,1,1,60,1,0,998,2,0,2000,0,,,,,1,2654,0,0,0,10,1,1,1,2,2,2,2,2,0,3,0,0,0,0,0,0,0,0,6,0,2,1,5,2,2,6,1,1,2,,12000,,6,2,3,3,62366.34380191385,.75411177,26470.162,.70867884,62366.34380195744,.75411177,23163.584,.70867896
332,1,30,9,2,1,1,7,1,1,1,1,0,,0,0,0,0,1,0,0,0,,0,13,0,0,0,0,998,4,0,998,3,0,5000,1,1,5101,1,0,,,,,,,2,2,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,6,5,1,1,0,1,1,0,999999,3,4,2,2,2,83478.37936761405,1.0093911,37692.594,1.0091342,83478.37936767239,1.0093911,32984.141,1.0091343
333,0,45,21,3,3,1,5,1,0,0,,,,,,,,,,,,,0,10,-1,-50,1,0,20,1,0,998,3,0,99999,1,3,9999,0,0,,,,,,,1,1,1,1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4,1,1,3,1,1,0,4,4500,,4,3,3,4,89269.32284078983,1.0794131,40989.453,1.0974002,89269.32284085223,1.0794131,35869.168,1.0974003
48,0,60,9,2,2,1,5,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,4,1,99998,1,1,2112,1,0,,,,,,,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,,3,3,3,1,2,,50000,,7,3,4,5,72819.77475868409,.88051099,32879.965,.88028687,72819.774758735,.88051099,28772.691,.88028693
334,1,21,21,4,4,1,10,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,3,0,998,3,1,99998,0,,,,,1,9111,0,0,1,9,2,2,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,5,3,0,3,0,0,1,1,2500,,2,1,1,1,77102.63404533151,.93229777,35402.922,.94783336,77102.63404538541,.93229777,30980.49,.94783348
49,0,37,15,3,1,1,10,1,1,0,,,,,,,,,,,,,1,,-1,-100,1,0,100,1,0,998,2,0,5000,1,9,.a,,,,,,,,,1,1,1,2,3,2,2,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,3,6,1,2,0,0,0,,999999,1,2,2,3,3,100634.1368441687,1.2168324,42712.168,1.143522,100634.1368442391,1.2168324,37376.688,1.1435221
335,0,32,21,1,3,1,8,3,2,0,,,,,,,,,,,,,0,11,-1,-30,1,3,60,1,0,998,2,0,8000,1,3,9999,0,0,,,,,,,1,2,2,3,3,0,3,2,2,1,1,0,1,1,1,1,1,1,10,2,1,4,3,6,0,4,1,1,3,4,24000,,3,2,2,2,84699.72018694135,1.0241591,38891.246,1.0412254,84699.72018700055,1.0241591,34033.063,1.0412256
50,1,53,15,3,3,2,10,0,0,0,,,,,,,,,,,,,1,,-1,999,1,1,50,1,1,50,1,1,99998,0,,,,,99,.a,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,,1,3,0,0,2,,20000,,2,3,4,4,82847.5866078876,1.0017637,35163.02,.94141054,82847.58660794552,1.0017637,30770.555,.94141066
